Input,Relevance,MatchLevel,MQ_PostalCode,MQ_City,MQ_Street,MQ_HouseNumber,MQ_Unit,County,PostalCode,City,Street,HouseNumber,Unit,Longitude,Latitude
10645 63rd Avenue Edmonton AB T6H 1P7,1.0,houseNumber,1.0,1.0,[0.95],1.0,None,Alberta,T6H 1P7,Edmonton,63 Ave NW,10645,None,-113.50707,53.4999
10645 63rd Avenue Edmonton AB T6H 1P7,1.0,houseNumber,1.0,1.0,[0.95],1.0,None,Alberta,T6H 1P7,Edmonton,63 Ave NW,10645,None,-113.50707,53.4999
10645 63rd Avenue Edmonton AB T6H 1P7,1.0,houseNumber,1.0,1.0,[0.95],1.0,None,Alberta,T6H 1P7,Edmonton,63 Ave NW,10645,None,-113.50707,53.4999
810 Box 53 FPO AE 9619,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Nome AK 99762,1.0,postalCode,1.0,1.0,None,None,None,Nome,99762,Nome,None,None,None,-165.40567,64.50067
10645 63rd Avenue Edmonton AB T6H 1P7,1.0,houseNumber,1.0,1.0,[0.95],1.0,None,Alberta,T6H 1P7,Edmonton,63 Ave NW,10645,None,-113.50707,53.4999
810 Box 53 FPO AE 9619,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Nome AK 99762,1.0,postalCode,1.0,1.0,None,None,None,Nome,99762,Nome,None,None,None,-165.40567,64.50067
Auburn AL 36831,1.0,postalCode,1.0,1.0,None,None,None,Lee,36831,Auburn,None,None,None,-85.47712,32.61253
Auburn AL 36831-0409,1.0,postalCode,1.0,1.0,None,None,None,Lee,36831,Auburn,None,None,None,-85.47712,32.61253
545 W. Main Street Dothan AL 36303,0.96,houseNumber,0.82,1.0,[1.0],1.0,None,Houston,36301,Dothan,W Main St,545,None,-85.3993179,31.2248833
415 N McKinley Street Suite 610 Little Rock AR 72205,1.0,houseNumber,1.0,1.0,[1.0],1.0,None,Pulaski,72205,Little Rock,N McKinley St,415,None,-92.34467,34.75553
Suite 610 415 N McKinley Street Little Rock AR 72205,1.0,houseNumber,1.0,1.0,[1.0],1.0,None,Pulaski,72205,Little Rock,N McKinley St,415,None,-92.34467,34.75553
Suite 610 415 N McKinley Street Little Rock AR 72205,1.0,houseNumber,1.0,1.0,[1.0],1.0,None,Pulaski,72205,Little Rock,N McKinley St,415,None,-92.34467,34.75553
4,1.0,postalCode,1.0,None,None,None,None,None,4,None,None,None,None,-76.78396,17.98067
